081; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000; 000
082; 004; 003; 002; 002; 002; 002; 002; 001; 001; 001; 001; 001; 001; 001; 001; 001; 001; 001; 001; 001
084; 007; 006; 005; 004; 004; 003; 003; 003; 003; 002; 002; 002; 002; 002; 002; 002; 002; 002; 001; 001
086; 011; 009; 007; 007; 006; 005; 005; 004; 004; 004; 003; 003; 003; 003; 003; 003; 003; 002; 002; 002
089; 017; 013; 011; 010; 009; 008; 007; 007; 006; 006; 005; 005; 005; 004; 004; 004; 004; 004; 003; 003
092; 023; 018; 015; 013; 012; 011; 010; 009; 008; 008; 007; 007; 006; 006; 005; 005; 005; 005; 005; 004
095; 029; 023; 019; 017; 015; 013; 012; 011; 010; 010; 009; 008; 008; 007; 007; 007; 006; 006; 006; 005
099; 038; 030; 024; 022; 020; 017; 015; 014; 013; 012; 011; 011; 010; 009; 009; 008; 008; 008; 007; 007
103; 047; 037; 030; 027; 024; 021; 019; 017; 016; 015; 014; 013; 012; 011; 011; 010; 010; 009; 009; 009
107; 057; 044; 036; 032; 029; 025; 022; 021; 019; 018; 016; 015; 015; 013; 013; 012; 012; 011; 010; 010
111; 068; 052; 042; 037; 034; 029; 026; 024; 022; 020; 019; 018; 017; 016; 015; 014; 013; 013; 012; 012
116; 081; 062; 050; 044; 040; 034; 030; 028; 026; 024; 022; 021; 020; 018; 017; 016; 016; 015; 014; 013
120; 093; 070; 056; 050; 045; 039; 034; 032; 029; 027; 024; 023; 022; 020; 019; 018; 018; 017; 016; 015
124; 106; 079; 063; 056; 050; 043; 038; 035; 033; 030; 027; 026; 024; 023; 021; 020; 019; 018; 017; 017
129; 124; 091; 072; 063; 056; 049; 043; 040; 037; 033; 030; 029; 027; 025; 024; 023; 022; 020; 019; 019
133; 139; 101; 079; 070; 062; 053; 047; 043; 040; 036; 033; 031; 030; 028; 026; 025; 024; 022; 021; 020
138; 160; 114; 089; 078; 069; 059; 052; 048; 044; 040; 037; 035; 033; 030; 028; 027; 026; 024; 023; 022
142; 180; 126; 097; 085; 075; 064; 056; 052; 048; 043; 039; 037; 035; 033; 030; 029; 028; 026; 025; 024
145; 196; 135; 104; 090; 080; 068; 059; 055; 051; 046; 042; 039; 037; 034; 032; 031; 029; 028; 026; 025
